LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;COLUMN;ROW
;;4;3;0,0449;14;;id2436color3.jpg;;U;P;2436;;;0,93;;;Bracket;Bracket;;P;;Yellow;#FFE001;Solid;;;;;;;;;;;;;;Part;Bracket 1 x 2 - 1 x 4;1.2;4;0.83;Casier Petit Gris;B;3;
;;4;5;0,0479;4;;id2436color5.jpg;;U;P;2436;;;0,93;;;Bracket;Bracket;;P;;Red;#B30006;Solid;;;;;;;;;;;;;;Part;Bracket 1 x 2 - 1 x 4;1.2;4;0.83;Casier Petit Gris;B;3;
;;4;6;0,2378;1;;id2436color6.jpg;;U;P;2436;;;0,93;;;Bracket;Bracket;;P;;Green;#00923D;Solid;;;;;;;;;;;;;;Part;Bracket 1 x 2 - 1 x 4;1.2;4;0.83;Casier Petit Gris;B;3;
;;4;7;0,0495;12;;id2436color7.jpg;;U;P;2436;;;0,93;;;Bracket;Bracket;;P;;Blue;#0057A6;Solid;;;;;;;;;;;;;;Part;Bracket 1 x 2 - 1 x 4;1.2;4;0.83;Casier Petit Gris;B;3;
;;4;9;0,1103;3;;id2436color9.jpg;;U;P;2436;;;0,93;;;Bracket;Bracket;;P;;Light Gray;#9C9C9C;Solid;;;;;;;;;;;;;;Part;Bracket 1 x 2 - 1 x 4;1.2;4;0.83;Casier Petit Gris;B;3;
;;4;11;0,0552;56;;id2436color11.jpg;;U;P;2436;;;0,93;;;Bracket;Bracket;;P;;Black;#212121;Solid;;;;;;;;;;;;;;Part;Bracket 1 x 2 - 1 x 4;1.2;4;0.83;Casier Petit Gris;B;3;
;;4;86;0,0558;15;;id2436color86.jpg;;U;P;2436;;;0,93;;;Bracket;Bracket;;P;;Light Bluish Gray;#AFB5C7;Solid;;;;;;;;;;;;;;Part;Bracket 1 x 2 - 1 x 4;1.2;4;0.83;Casier Petit Gris;B;3;
;;83;86;0,12;2;;Not Available;;U;P;30386pb04;;;1,17;;;Hinge, Decorated;Hinge;Decorated;P;;Light Bluish Gray;#AFB5C7;Solid;;;;;;;;;;;;;;Part;Hinge Brick 1 x 2 Locking, 9 Teeth with Red and White Danger Stripes Pattern on Both Sides (Stickers) - Set 60073;1;2;1;Casier Petit Gris;B;4;
;;22;3;0,0534;2;;id30387color3.jpg;;U;P;30387;;;2,12;;;Hinge;Hinge;;P;;Yellow;#FFE001;Solid;;;;;;;;;;;;;;Part;Hinge Brick 1 x 4 Locking with 1 Finger Vertical End and 2 Fingers Vertical End, 9 Teeth;1;4;1;Casier Petit Gris;B;4;
;;22;9;0,0693;1;;id30387color9.jpg;;U;P;30387;;;2,12;;;Hinge;Hinge;;P;;Light Gray;#9C9C9C;Solid;;;;;;;;;;;;;;Part;Hinge Brick 1 x 4 Locking with 1 Finger Vertical End and 2 Fingers Vertical End, 9 Teeth;1;4;1;Casier Petit Gris;B;4;
;;22;86;0,0465;8;;id30387color86.jpg;;U;P;30387;;;2,12;;;Hinge;Hinge;;P;;Light Bluish Gray;#AFB5C7;Solid;;;;;;;;;;;;;;Part;Hinge Brick 1 x 4 Locking with 1 Finger Vertical End and 2 Fingers Vertical End, 9 Teeth;1;4;1;Casier Petit Gris;B;4;
;;83;86;0,1483;1;;Not Available;;U;P;30387pb011;;;2,15;;;Hinge, Decorated;Hinge;Decorated;P;;Light Bluish Gray;#AFB5C7;Solid;;;;;;;;;;;;;;Part;Hinge Brick 1 x 4 Locking, 9 Teeth with Red and White Danger Stripes (4 Stripes) Pattern on Both Sides (Stickers) - Set 60073;1;4;1;Casier Petit Gris;B;4;
;;22;3;0,0656;2;;id30388color3.jpg;;U;P;30388;;;3,29;;;Hinge;Hinge;;P;;Yellow;#FFE001;Solid;;;;;;;;;;;;;;Part;Hinge Brick 1 x 6 Locking with 1 Finger Vertical End and 2 Fingers Vertical End, 9 Teeth;1;6;1;Casier Petit Gris;B;4;
;;22;5;0,1202;1;;id30388color5.jpg;;U;P;30388;;;3,29;;;Hinge;Hinge;;P;;Red;#B30006;Solid;;;;;;;;;;;;;;Part;Hinge Brick 1 x 6 Locking with 1 Finger Vertical End and 2 Fingers Vertical End, 9 Teeth;1;6;1;Casier Petit Gris;B;4;
;;Category ID Not Available;3;0,1186;3;;Not Available;;U;P;30388pb001La;;;0;;;Category Name Not Available;Category1 Not Available;Category2 Not Available;P;Category4 Not Available;Yellow;#FFE001;Solid;;;;;;;;;;;;;;Part;Name Not Available;DimensionX Not Available;DimensionY Not Available;DimensionZ Not Available;Casier Petit Gris;B;4;
;;83;3;0,1675;1;;Not Available;;U;P;30388pb004;;;3,3;;;Hinge, Decorated;Hinge;Decorated;P;;Yellow;#FFE001;Solid;;;;;;;;;;;;;;Part;Hinge Brick 1 x 6 Locking, 9 Teeth with '32 '1'' Pattern on Both Sides (Stickers) - Set 7739;1;6;1;Casier Petit Gris;B;4;
;;83;3;0,1983;1;;Not Available;;U;P;30388pb003;;;3,3;;;Hinge, Decorated;Hinge;Decorated;P;;Yellow;#FFE001;Solid;;;;;;;;;;;;;;Part;Hinge Brick 1 x 6 Locking, 9 Teeth with '7739' Pattern on Both Sides (Stickers) - Set 7739;1;6;1;Casier Petit Gris;B;4;
